"Archivo","Plantilla","Rubro","Categoría","Productos/Servicios"
"Alimentos y Bebidas/01-dashboard-financiero-Bodega.xlsx","Dashboard Financiero","Bodega","Alimentos y Bebidas","Arroz 5kg | Aceite 1L | Azúcar 1kg | Fideos 800g | Atún lata | Leche evaporada | Gaseosa 1.5L | Pan ciabatta"
"Comercio y Retail/26-gratificaciones-Farmacia.xlsx","Calculadora Gratificaciones","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/27-amortizacion-Farmacia.xlsx","Cuadro de Amortización","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/28-vacaciones-Farmacia.xlsx","Calculadora Vacaciones","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/29-afp-onp-Farmacia.xlsx","Calculadora AFP/ONP","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/30-nomina-Farmacia.xlsx","Calculadora Nómina","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/31-roi-Farmacia.xlsx","Calculadora ROI","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/32-ipc-Farmacia.xlsx","Calculadora IPC","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/33-endeudamiento-Farmacia.xlsx","Capacidad Endeudamiento","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/34-proyeccion-flujo-Farmacia.xlsx","Proyección Flujo de Caja","Farmacia","Comercio y Retail","Paracetamol | Amoxicilina | Ibuprofeno | Vitamina C | Jarabe para la tos | Curitas | Alcohol en gel |  protector solar"
"Comercio y Retail/01-dashboard-financiero-Ferreteria.xlsx","Dashboard Financiero","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/02-control-ventas-Ferreteria.xlsx","Control de Ventas","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/03-inventario-Ferreteria.xlsx","Control de Inventario","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/04-presupuesto-anual-Ferreteria.xlsx","Presupuesto Anual","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/05-flujo-de-caja-Ferreteria.xlsx","Flujo de Caja","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/06-gestion-proyectos-Ferreteria.xlsx","Gestión de Proyectos","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/07-analisis-kpis-Ferreteria.xlsx","Análisis de KPIs","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/08-control-gastos-Ferreteria.xlsx","Control de Gastos","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/09-planilla-personal-Ferreteria.xlsx","Planilla de Personal","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/10-cuentas-por-cobrar-Ferreteria.xlsx","Cuentas por Cobrar","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/11-caja-diaria-Ferreteria.xlsx","Caja Diaria","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/12-compras-proveedores-Ferreteria.xlsx","Compras y Proveedores","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/13-balance-general-Ferreteria.xlsx","Balance General","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/14-estado-resultados-Ferreteria.xlsx","Estado de Resultados","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/15-flujo-efectivo-indirecto-Ferreteria.xlsx","Flujo de Efectivo Indirecto","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/16-conciliacion-bancaria-Ferreteria.xlsx","Conciliación Bancaria","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/17-libro-diario-Ferreteria.xlsx","Libro Diario y Mayor","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/18-ratios-financieros-Ferreteria.xlsx","Ratios Financieros","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/19-control-tributario-Ferreteria.xlsx","Control Tributario","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/20-presupuesto-centros-costo-Ferreteria.xlsx","Presupuesto Centros de Costo","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/21-activos-fijos-Ferreteria.xlsx","Activos Fijos y Depreciación","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/22-punto-equilibrio-Ferreteria.xlsx","Punto de Equilibrio","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/23-estados-comparativos-Ferreteria.xlsx","Estados Comparativos 3 Años","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/24-costeo-ordenes-Ferreteria.xlsx","Costeo porÓrdenes de Trabajo","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/25-calculadora-cts-Ferreteria.xlsx","Calculadora CTS","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/26-gratificaciones-Ferreteria.xlsx","Calculadora Gratificaciones","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/27-amortizacion-Ferreteria.xlsx","Cuadro de Amortización","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/28-vacaciones-Ferreteria.xlsx","Calculadora Vacaciones","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/29-afp-onp-Ferreteria.xlsx","Calculadora AFP/ONP","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/30-nomina-Ferreteria.xlsx","Calculadora Nómina","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/31-roi-Ferreteria.xlsx","Calculadora ROI","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/32-ipc-Ferreteria.xlsx","Calculadora IPC","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/33-endeudamiento-Ferreteria.xlsx","Capacidad Endeudamiento","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/34-proyeccion-flujo-Ferreteria.xlsx","Proyección Flujo de Caja","Ferretería","Comercio y Retail","Cemento | Ladrillo | Pintura latex | Clavos | Tubo PVC | Cable eléctrico | Herramientas | Sellante"
"Comercio y Retail/01-dashboard-financiero-Tienda de Ropa.xlsx","Dashboard Financiero","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/02-control-ventas-Tienda de Ropa.xlsx","Control de Ventas","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/03-inventario-Tienda de Ropa.xlsx","Control de Inventario","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/04-presupuesto-anual-Tienda de Ropa.xlsx","Presupuesto Anual","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/05-flujo-de-caja-Tienda de Ropa.xlsx","Flujo de Caja","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/06-gestion-proyectos-Tienda de Ropa.xlsx","Gestión de Proyectos","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/07-analisis-kpis-Tienda de Ropa.xlsx","Análisis de KPIs","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/08-control-gastos-Tienda de Ropa.xlsx","Control de Gastos","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/09-planilla-personal-Tienda de Ropa.xlsx","Planilla de Personal","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/10-cuentas-por-cobrar-Tienda de Ropa.xlsx","Cuentas por Cobrar","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/11-caja-diaria-Tienda de Ropa.xlsx","Caja Diaria","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/12-compras-proveedores-Tienda de Ropa.xlsx","Compras y Proveedores","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/13-balance-general-Tienda de Ropa.xlsx","Balance General","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/14-estado-resultados-Tienda de Ropa.xlsx","Estado de Resultados","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/15-flujo-efectivo-indirecto-Tienda de Ropa.xlsx","Flujo de Efectivo Indirecto","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/16-conciliacion-bancaria-Tienda de Ropa.xlsx","Conciliación Bancaria","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/17-libro-diario-Tienda de Ropa.xlsx","Libro Diario y Mayor","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/18-ratios-financieros-Tienda de Ropa.xlsx","Ratios Financieros","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/19-control-tributario-Tienda de Ropa.xlsx","Control Tributario","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/20-presupuesto-centros-costo-Tienda de Ropa.xlsx","Presupuesto Centros de Costo","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/21-activos-fijos-Tienda de Ropa.xlsx","Activos Fijos y Depreciación","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/22-punto-equilibrio-Tienda de Ropa.xlsx","Punto de Equilibrio","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/23-estados-comparativos-Tienda de Ropa.xlsx","Estados Comparativos 3 Años","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/24-costeo-ordenes-Tienda de Ropa.xlsx","Costeo porÓrdenes de Trabajo","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/25-calculadora-cts-Tienda de Ropa.xlsx","Calculadora CTS","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/26-gratificaciones-Tienda de Ropa.xlsx","Calculadora Gratificaciones","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/27-amortizacion-Tienda de Ropa.xlsx","Cuadro de Amortización","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/28-vacaciones-Tienda de Ropa.xlsx","Calculadora Vacaciones","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/29-afp-onp-Tienda de Ropa.xlsx","Calculadora AFP/ONP","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/30-nomina-Tienda de Ropa.xlsx","Calculadora Nómina","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/31-roi-Tienda de Ropa.xlsx","Calculadora ROI","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/32-ipc-Tienda de Ropa.xlsx","Calculadora IPC","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/33-endeudamiento-Tienda de Ropa.xlsx","Capacidad Endeudamiento","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/34-proyeccion-flujo-Tienda de Ropa.xlsx","Proyección Flujo de Caja","Tienda de Ropa","Comercio y Retail","Polo básico | Jean | Casaca | Vestido | Camisa | Short | Chompa | Ropa deportiva"
"Comercio y Retail/01-dashboard-financiero-Zapateria.xlsx","Dashboard Financiero","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/02-control-ventas-Zapateria.xlsx","Control de Ventas","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/03-inventario-Zapateria.xlsx","Control de Inventario","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/04-presupuesto-anual-Zapateria.xlsx","Presupuesto Anual","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/05-flujo-de-caja-Zapateria.xlsx","Flujo de Caja","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/06-gestion-proyectos-Zapateria.xlsx","Gestión de Proyectos","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/07-analisis-kpis-Zapateria.xlsx","Análisis de KPIs","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/08-control-gastos-Zapateria.xlsx","Control de Gastos","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/09-planilla-personal-Zapateria.xlsx","Planilla de Personal","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/10-cuentas-por-cobrar-Zapateria.xlsx","Cuentas por Cobrar","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/11-caja-diaria-Zapateria.xlsx","Caja Diaria","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/12-compras-proveedores-Zapateria.xlsx","Compras y Proveedores","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/13-balance-general-Zapateria.xlsx","Balance General","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/14-estado-resultados-Zapateria.xlsx","Estado de Resultados","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/15-flujo-efectivo-indirecto-Zapateria.xlsx","Flujo de Efectivo Indirecto","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/16-conciliacion-bancaria-Zapateria.xlsx","Conciliación Bancaria","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/17-libro-diario-Zapateria.xlsx","Libro Diario y Mayor","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/18-ratios-financieros-Zapateria.xlsx","Ratios Financieros","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/19-control-tributario-Zapateria.xlsx","Control Tributario","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/20-presupuesto-centros-costo-Zapateria.xlsx","Presupuesto Centros de Costo","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/21-activos-fijos-Zapateria.xlsx","Activos Fijos y Depreciación","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/22-punto-equilibrio-Zapateria.xlsx","Punto de Equilibrio","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/23-estados-comparativos-Zapateria.xlsx","Estados Comparativos 3 Años","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/24-costeo-ordenes-Zapateria.xlsx","Costeo porÓrdenes de Trabajo","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/25-calculadora-cts-Zapateria.xlsx","Calculadora CTS","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/26-gratificaciones-Zapateria.xlsx","Calculadora Gratificaciones","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/27-amortizacion-Zapateria.xlsx","Cuadro de Amortización","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/28-vacaciones-Zapateria.xlsx","Calculadora Vacaciones","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/29-afp-onp-Zapateria.xlsx","Calculadora AFP/ONP","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/30-nomina-Zapateria.xlsx","Calculadora Nómina","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/31-roi-Zapateria.xlsx","Calculadora ROI","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/32-ipc-Zapateria.xlsx","Calculadora IPC","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/33-endeudamiento-Zapateria.xlsx","Capacidad Endeudamiento","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/34-proyeccion-flujo-Zapateria.xlsx","Proyección Flujo de Caja","Zapatería","Comercio y Retail","Zapatillas | Zapato de vestir | Sandalia | Botín | Ojotas | Zapato escolar | Mocasín | Tacos"
"Comercio y Retail/01-dashboard-financiero-Joyeria y Bisuteria.xlsx","Dashboard Financiero","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/02-control-ventas-Joyeria y Bisuteria.xlsx","Control de Ventas","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/03-inventario-Joyeria y Bisuteria.xlsx","Control de Inventario","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/04-presupuesto-anual-Joyeria y Bisuteria.xlsx","Presupuesto Anual","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/05-flujo-de-caja-Joyeria y Bisuteria.xlsx","Flujo de Caja","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/06-gestion-proyectos-Joyeria y Bisuteria.xlsx","Gestión de Proyectos","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/07-analisis-kpis-Joyeria y Bisuteria.xlsx","Análisis de KPIs","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/08-control-gastos-Joyeria y Bisuteria.xlsx","Control de Gastos","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/09-planilla-personal-Joyeria y Bisuteria.xlsx","Planilla de Personal","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/10-cuentas-por-cobrar-Joyeria y Bisuteria.xlsx","Cuentas por Cobrar","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/11-caja-diaria-Joyeria y Bisuteria.xlsx","Caja Diaria","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/12-compras-proveedores-Joyeria y Bisuteria.xlsx","Compras y Proveedores","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/13-balance-general-Joyeria y Bisuteria.xlsx","Balance General","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
"Comercio y Retail/14-estado-resultados-Joyeria y Bisuteria.xlsx","Estado de Resultados","Joyería y Bisutería","Comercio y Retail","Anillo de plata | Aretes | Collar | Pulsera | Reloj | Dije | Set de regalo | Argolla de compromiso"
